Term,Category,Subcategory,Weight,Confidence,Context_Required,Source,Definition
betting,Gambling,Direct_Terms,4,High,No,"Snowberg et al. (2012), Wikipedia",Placing wagers on outcomes
bet,Gambling,Direct_Terms,4,High,No,"Snowberg et al. (2012)",Making a wager
wager,Gambling,Direct_Terms,4,High,No,"Snowberg et al. (2012)",A bet or stake on an uncertain outcome
gambling,Gambling,Direct_Terms,5,High,No,"Wikipedia, Sen. Lincoln quote (FIA 2023)",Staking money on uncertain events for entertainment or profit
gamble,Gambling,Direct_Terms,5,High,No,Wikipedia,To play games of chance for money
odds,Gambling,Direct_Terms,4,High,No,"Snowberg et al. (2012), Rhode & Strumpf",The ratio of probabilities in betting
bookie,Gambling,Direct_Terms,5,High,No,Sports Betting Dime (2025),A person who takes bets (bookmaker)
bookmaker,Gambling,Direct_Terms,5,High,No,Sports Betting Dime (2025),Professional who accepts bets
payout,Gambling,Direct_Terms,3,Medium,No,Johnson et al. (2025),Money received when winning a bet
casino,Gambling,Direct_Terms,5,High,No,Britannica Money (2025),Gambling establishment
parlor,Gambling,Direct_Terms,5,High,No,Britannica Money (2025),Betting establishment (as in betting parlor)
stake,Gambling,Direct_Terms,4,High,No,"Johnson et al. (2025), Yahoo Finance",Money risked on a bet
staking,Gambling,Direct_Terms,4,High,No,Yahoo Finance (2025),The act of placing money at risk
gaming,Gambling,Direct_Terms,4,High,No,"CFTC Regulation 40.11, FIA Webinar (2023)",Gambling activities
sportsbook,Gambling,Direct_Terms,5,High,No,Arizona Dept. Gaming (SCCG 2025),Establishment that accepts sports bets
win,Gambling,Direct_Terms,2,Low,Yes,Common usage,Successful outcome of a bet
lose,Gambling,Direct_Terms,2,Low,Yes,Common usage,Unsuccessful outcome of a bet
longshot,Gambling,Market_Terms,3,High,No,Snowberg et al. (2012) Figure 3,Unlikely winner with high odds
favorite,Gambling,Market_Terms,2,Medium,Yes,Snowberg et al. (2012) Figure 3,Most likely winner with low odds
spread betting,Gambling,Market_Terms,4,High,No,Snowberg et al. (2012),Betting on a margin of victory
pari-mutuel,Gambling,Market_Terms,4,High,No,Snowberg et al. (2012),Pool betting system from horse racing
