Term,Category,Notes,Alternative_Forms,Weight
Rule 10b-5,Formal Legal Terminology,Direct SEC rule reference,"10b-5,Rule 10b5",3
10b-5,Formal Legal Terminology,SEC rule acronym,,3
Rule 10b5,Formal Legal Terminology,Alternative spelling,,3
Securities Exchange Act of 1934,Formal Legal Terminology,Foundational securities law,"Exchange Act,1934 Act",3
Exchange Act,Formal Legal Terminology,Common shorthand,,3
Section 10(b),Formal Legal Terminology,Specific statutory section,"Section 10b,10(b)",3
Rule 10b5-1,Formal Legal Terminology,Safe harbor rule,"10b5-1 plan,10b5-1",3
10b5-1 plan,Formal Legal Terminology,Trading plan under rule,,3
Regulation FD,Formal Legal Terminology,Fair Disclosure regulation,"Reg FD,Regulation Fair Disclosure",3
Regulation Fair Disclosure,Formal Legal Terminology,Full name of Reg FD,,3
Reg FD,Formal Legal Terminology,Common acronym,,3
insider trading,Formal Legal Terminology,Core legal term - exact phrase only,,3
securities fraud,Formal Legal Terminology,Related violation,,3
market manipulation,Formal Legal Terminology,Combine with information context check,,3
tipper-tippee liability,Formal Legal Terminology,Legal theory,tippee liability,3
tippee liability,Formal Legal Terminology,Derivative liability,,3
classical insider trading,Formal Legal Terminology,Traditional theory,,3
misappropriation theory,Formal Legal Terminology,Alternative legal theory,misappropriation doctrine,3
misappropriation doctrine,Formal Legal Terminology,Alternative phrasing,,3
breach of fiduciary duty,Formal Legal Terminology,Requires trading context check,,3
material non-public information,Formal Legal Terminology,Core legal standard,"MNPI,material nonpublic information",3
material nonpublic information,Formal Legal Terminology,Alternative spacing,,3
MNPI,Formal Legal Terminology,Acronym - case sensitive,,3
non-public information,Formal Legal Terminology,Key component,"nonpublic information,non public information",3
nonpublic information,Formal Legal Terminology,Alternative spacing,,3
confidential information,Formal Legal Terminology,Requires trading context,,3
personal benefit test,Formal Legal Terminology,Legal standard from Dirks,,3
constructive insider,Formal Legal Terminology,Legal classification,,3
temporary insider,Formal Legal Terminology,Legal classification,,3
duty of trust and confidence,Formal Legal Terminology,Misappropriation element,,3
duty of confidentiality,Formal Legal Terminology,Alternative phrasing,,3
fiduciary duty,Formal Legal Terminology,Requires trading context,,3
inside information,Core IT Concepts,Most common informal term,insider information,3
insider information,Core IT Concepts,Alternative phrasing,,3
