Term,Category
insider trading,Formal Legal and Regulatory References
insider-trading,Formal Legal and Regulatory References
trading on inside information,Formal Legal and Regulatory References
misuse of material non-public information,Formal Legal and Regulatory References
material nonpublic information,Formal Legal and Regulatory References
MNPI,Formal Legal and Regulatory References
Rule 10b-5,Formal Legal and Regulatory References
Rule 10b5,Formal Legal and Regulatory References
Section 10(b),Formal Legal and Regulatory References
Securities Exchange Act of 1934,Formal Legal and Regulatory References
securities fraud,Formal Legal and Regulatory References
deceptive trading practices,Formal Legal and Regulatory References
market manipulation,Formal Legal and Regulatory References
unlawful trading,Formal Legal and Regulatory References
prohibited trading activity,Formal Legal and Regulatory References
enforcement precedent,Formal Legal and Regulatory References
securities law violation,Formal Legal and Regulatory References
anti-fraud provisions,Formal Legal and Regulatory References
duty of trust or confidence,Formal Legal and Regulatory References
non-public information,Material Non-Public Information and Advance Knowledge
private information,Material Non-Public Information and Advance Knowledge
confidential information,Material Non-Public Information and Advance Knowledge
privileged information,Material Non-Public Information and Advance Knowledge
advance knowledge,Material Non-Public Information and Advance Knowledge
early knowledge,Material Non-Public Information and Advance Knowledge
foreknowledge,Material Non-Public Information and Advance Knowledge
pre-announcement information,Material Non-Public Information and Advance Knowledge
information not available to the public,Material Non-Public Information and Advance Knowledge
internal information,Material Non-Public Information and Advance Knowledge
unreleased data,Material Non-Public Information and Advance Knowledge
embargoed information,Material Non-Public Information and Advance Knowledge
behind-the-scenes information,Material Non-Public Information and Advance Knowledge
asymmetric information,Material Non-Public Information and Advance Knowledge
information advantage,Material Non-Public Information and Advance Knowledge
informational edge,Material Non-Public Information and Advance Knowledge
unfair information advantage,Material Non-Public Information and Advance Knowledge
tipping,"Tipping, Leaks, and Selective Disclosure"
tipper,"Tipping, Leaks, and Selective Disclosure"
tippee,"Tipping, Leaks, and Selective Disclosure"
information leakage,"Tipping, Leaks, and Selective Disclosure"
leaks,"Tipping, Leaks, and Selective Disclosure"
leaked information,"Tipping, Leaks, and Selective Disclosure"
selective disclosure,"Tipping, Leaks, and Selective Disclosure"
private briefings,"Tipping, Leaks, and Selective Disclosure"
quiet disclosures,"Tipping, Leaks, and Selective Disclosure"
off-the-record information,"Tipping, Leaks, and Selective Disclosure"
back-channel communication,"Tipping, Leaks, and Selective Disclosure"
informal sharing of information,"Tipping, Leaks, and Selective Disclosure"
whisper networks,"Tipping, Leaks, and Selective Disclosure"
inside sources,"Tipping, Leaks, and Selective Disclosure"
sources close to the matter,"Tipping, Leaks, and Selective Disclosure"
people in the know,"Tipping, Leaks, and Selective Disclosure"
front-running,Front-Running and Anticipatory Trading
trading ahead of announcements,Front-Running and Anticipatory Trading
trading before the news,Front-Running and Anticipatory Trading
anticipatory trading,Front-Running and Anticipatory Trading
trading in advance,Front-Running and Anticipatory Trading
pre-event trading,Front-Running and Anticipatory Trading
positioning ahead of outcomes,Front-Running and Anticipatory Trading
exploiting early signals,Front-Running and Anticipatory Trading
trading on expected outcomes,Front-Running and Anticipatory Trading
jumping the gun,Front-Running and Anticipatory Trading
trading before public release,Front-Running and Anticipatory Trading
rigged markets,Colloquial and Normative Descriptions of Informational Advantage
unfair playing field,Colloquial and Normative Descriptions of Informational Advantage
stacked deck,Colloquial and Normative Descriptions of Informational Advantage
insiders have an edge,Colloquial and Normative Descriptions of Informational Advantage
ordinary participants are disadvantaged,Colloquial and Normative Descriptions of Informational Advantage
people with connections,Colloquial and Normative Descriptions of Informational Advantage
political insiders,Colloquial and Normative Descriptions of Informational Advantage
government insiders,Colloquial and Normative Descriptions of Informational Advantage
regulatory insiders,Colloquial and Normative Descriptions of Informational Advantage
access others don’t have,Colloquial and Normative Descriptions of Informational Advantage
not a level playing field,Colloquial and Normative Descriptions of Informational Advantage
gaming the system,Colloquial and Normative Descriptions of Informational Advantage
exploiting inside access,Colloquial and Normative Descriptions of Informational Advantage
trading on privileged access,Colloquial and Normative Descriptions of Informational Advantage
unfair advantage,Colloquial and Normative Descriptions of Informational Advantage
informational imbalance,Colloquial and Normative Descriptions of Informational Advantage
unequal access to information,Colloquial and Normative Descriptions of Informational Advantage
backroom knowledge,Colloquial and Normative Descriptions of Informational Advantage
who you know matters more than the market,Colloquial and Normative Descriptions of Informational Advantage
